name:es_aa,2014
Argentina,2.826
Barbados,0.885
Banglades,3.211
Bolivia,0.826
Brasil,4.158
Bahamas,0.576
Botsuana,1.099
Belice,0.632
RD Congo,1.317
Costa de Marfil,1.242
Chile,3.184
Camerun,0.915
China,5.0
Hebei,1.678
Nei Mongol,1.359
Jilin,1.036
Heilongjiang,1.349
Jiangsu,2.056
Fujian,1.941
Shandong,2.26
Hubei,1.414
Guangdong,2.428
Sichuan,1.819
Yunnan,1.299
Xizang,0.444
Gansu,0.641
Qinghai,0.905
Xinjiang,1.299
Colombia,1.987
Costa Rica,1.789
Republica Dominicana,0.895
Ecuador,0.72
Etiopia,2.474
Ghana,2.444
Guatemala,1.217
Guyana,0.066
Honduras,1.418
Haiti,1.576
Indonesia,4.227
India,4.099
Andhra Pradesh,2.007
Gujarat,2.141
Karnataka,1.941
Maharashtra,2.069
Madhya Pradesh,0.72
Punjab,1.036
Rajasthan,1.033
Tamil Nadu,2.401
Uttar Pradesh,1.368
West Bengal,1.941
Jamaica,1.026
Kenia,3.666
Sri Lanka,2.98
Liberia,1.03
Birmania,3.735
Malaui,1.618
Mexico,2.816
Mozambique,1.66
Nigeria,3.295
Nicaragua,1.158
Nepal,2.878
Panama,1.02
Peru,2.046
Pakistan,4.289
Paraguay,0.197
Ruanda,1.855
Sierra Leona,0.913
Senegal,2.158
Surinam,0.197
El Salvador,0.836
Tayikistan,0.763
Trinidad y Tobago,0.632
Tanzania,3.006
Uganda,3.726
Uruguay,1.161
Venezuela,0.888
Vietnam,3.253
Sudafrica,3.882
Zambia,2.319
Zimbabue,1.265
