name:en_aa,name:en_var,type_var,2016,2015,2014
Argentina,Score,score,1.39359607999,1.38931139741,1.24240047589
Argentina,Enabling framework,param,1.1853333957,1.31800612239,1.1712447476
Argentina,Clean energy policies,ind,0.1392,0.136179204417,0.180299235586
Argentina,Power sector structure,ind,0.134439912539,0.144545454545,0.155
Argentina,Distributed energy framework,ind,0.0,0.0,0.0
Argentina,Clean energy rural electrification,ind,0.04,0.04,0.04
Argentina,Energy access policies,ind,0.0,0.0,0.0
Argentina,Barriers,ind,0.008739,0.000978260869565,0.00435934695273
Argentina,Clean energy installed capacity,ind,0.0067106803448,0.00597500786549,0.00437390841878
Argentina,Growth rate of installed capacity,ind,0.0,0.0467547723935,8.43329621885e-05
Argentina,Clean energy electricity generation,ind,0.00329256922322,0.00361370595142,0.00305426010312
Argentina,Growth rate of electricity generation,ind,0.00184363945151,0.0082307566419,0.0
Argentina,Biofuels production capacity,ind,0.00727849413792,0.0285954808698,0.0317000649112
Argentina,Growth rate biofuels production capacity,ind,0.0190982933534,0.08,0.0
Argentina,Average electricity spot prices,ind,0.0,0.0175378073284,0.0274240928602
Argentina,Average retail electricity prices,ind,0.0175307692308,0.00860676567509,0.00927646777088
Argentina,Average residential electricity prices,ind,0.0,0.0,0.0
Argentina,Average commercial electricity prices,ind,0.0,0.0,0.0
Argentina,Average industrial electricity prices,ind,0.0,0.0,0.0
Argentina,Average kerosene prices,ind,0.0,0.0,0.0
Argentina,Average diesel prices,ind,0.0,0.0,0.0
Argentina,Growth rate of power demand,ind,0.0,0.00410189906746,0.0112767049385
Argentina,Electrification rate,ind,0.096,0.00208333333333,0.00164948453608
Argentina,Population using solid fuels for cooking,ind,0.0,0.0,0.0
Argentina,Financing and Investments,param,0.256652054835,0.21377972435,0.301373639566
Argentina,Clean energy investments (2011-2015),ind,0.0091246157042,0.00372173856344,0.00639172892622
Argentina,Growth rate of clean energy investments,ind,0.0172633865344,0.0,0.0131634075982
Argentina,Asset finance investments,ind,0.0,0.0,0.0
Argentina,Corporate finance investments,ind,0.0,0.0,0.0
Argentina,VC/PE investments,ind,0.0,0.0,0.0
Argentina,"Loans, grants, grant programs",ind,0.00124845767997,0.0,0.0016934918025
Argentina,Local investments,ind,0.0473475120385,0.0,0.00618330363263
Argentina,Average cost of debt,ind,,0.0188610253028,0.0315899591757
Argentina,Swap rate,ind,,0.0255,0.0241810344828
Argentina,Value chains,param,2.95394736842,3.54934210526,2.82565789474
Argentina,Financial institutions in clean energy,ind,0.15,0.15,0.15
Argentina,Value chains by clean energy sector,ind,0.236842105263,0.335526315789,0.226973684211
Argentina,Distributed value chains by sector,ind,0.0,0.0,0.0
Argentina,Clean energy service providers,ind,0.05625,0.046875,0.046875
Argentina,Distributed clean energy service providers,ind,0.0,0.0,0.0
Argentina,GHG management,param,2.6625,1.77049143569,1.7309453385
Argentina,Carbon offsets historical activity,ind,0.075,0.075,0.075
Argentina,CDM risk,ind,0.0625,0.0625,0.0625
Argentina,Carbon offsets future potential,ind,0.00575,0.0218199117229,0.0218199117229
Argentina,GHG emissions reduction target,ind,0.046875,0.0,0.0
Argentina,GHG country registry,ind,0.0,0.0,0.0
Argentina,GHG market-based instruments,ind,0.0,0.0,0.0
Argentina,PMR & NAMA,ind,0.0,0.009375,0.009375
Argentina,Voluntary GHG reporting by corporates,ind,0.046875,0.0126335470085,0.00672246220302
Argentina,Investor pressure – PRI signatories,ind,0.019125,0.0,0.0
Argentina,Corporate energy efficiency initiatives,ind,0.002625,0.00518169198106,0.00480746947969
Argentina,Corporate emission reduction policies,ind,0.0375,0.00406356464049,0.00441695736896
