name:en_aa,name:en_var,type_var,2015,2014
Argentina,Score,score,1.38931139741,1.24240047589
Argentina,Enabling framework,param,1.31800612239,1.1712447476
Argentina,Clean energy policies,ind,0.136179204417,0.180299235586
Argentina,Power sector structure,ind,0.144545454545,0.155
Argentina,Distributed energy regulatory framework,ind,0.0,0.0
Argentina,Clean energy rural electrification,ind,0.04,0.04
Argentina,Energy access policies,ind,0.0,0.0
Argentina,Policy barriers,ind,0.000978260869565,0.00435934695273
Argentina,Clean energy installed capacity,ind,0.00597500786549,0.00437390841878
Argentina,Growth rate of installed capacity,ind,0.0467547723935,8.43329621885e-05
Argentina,Clean energy electricity generation,ind,0.00361370595142,0.00305426010312
Argentina,Growth rate of electricity generation,ind,0.0082307566419,0.0
Argentina,Biofuels production,ind,0.0285954808698,0.0317000649112
Argentina,Growth rate biofuels production,ind,0.08,0.0
Argentina,Average electricity spot prices,ind,0.0175378073284,0.0274240928602
Argentina,Average retail electricity prices,ind,0.00860676567509,0.00927646777088
Argentina,Average residential electricity prices,ind,0.0,0.0
Argentina,Average commercial electricity prices,ind,0.0,0.0
Argentina,Average industrial electricity prices,ind,0.0,0.0
Argentina,Average kerosene prices,ind,0.0,0.0
Argentina,Average diesel prices,ind,0.0,0.0
Argentina,Growth rate of power demand,ind,0.00410189906746,0.0112767049385
Argentina,Electrification rate,ind,0.00208333333333,0.00164948453608
Argentina,Population using solid fuels for cooking,ind,0.0,0.0
Argentina,Financing and Investments,param,0.21377972435,0.301373639566
Argentina,Clean energy investments,ind,0.00372173856344,0.00639172892622
Argentina,Growth rate of clean energy investments,ind,0.0,0.0131634075982
Argentina,Asset finance investments,ind,0.0,0.0
Argentina,Corporate finance investments,ind,0.0,0.0
Argentina,VC/PE investments,ind,0.0,0.0
Argentina,"Loans, grants, grant programs",ind,0.0,0.0016934918025
Argentina,Local investments,ind,0.0,0.00618330363263
Argentina,Number of Green MFI,ind,0.00880546906522,0.000740598298338
Argentina,Green micro-loans,ind,0.00183988305565,0.0001958119506
Argentina,Green micro-borrowers,ind,0.00169330131778,0.00256025600282
Argentina,Average cost of green micro debt,ind,0.0037125,0.0037125
Argentina,Average cost of debt,ind,0.0188610253028,0.0315899591757
Argentina,Swap rate,ind,0.0255,0.0241810344828
Argentina,Value chains,param,3.54934210526,2.82565789474
Argentina,Financial institutions in clean energy,ind,0.15,0.15
Argentina,Value chains by clean energy sector,ind,0.335526315789,0.226973684211
Argentina,Distributed clean energy value chains by sector,ind,0.0,0.0
Argentina,Clean energy service providers,ind,0.046875,0.046875
Argentina,Distributed clean energy service providers,ind,0.0,0.0
Argentina,GHG management,param,1.77049143569,1.7309453385
Argentina,Carbon offsets historical activity,ind,0.075,0.075
Argentina,CDM risk,ind,0.0625,0.0625
Argentina,Carbon offsets future potential,ind,0.0218199117229,0.0218199117229
Argentina,GHG emissions reduction target,ind,0.0,0.0
Argentina,GHG country registry,ind,0.0,0.0
Argentina,GHG market-based instruments,ind,0.0,0.0
Argentina,PMR & NAMA,ind,0.009375,0.009375
Argentina,Voluntary GHG reporting by corporates,ind,0.0126335470085,0.00672246220302
Argentina,Investor pressure – PRI signatories,ind,0.0,0.0
Argentina,Corporate energy efficiency initiatives,ind,0.00518169198106,0.00480746947969
Argentina,Corporate emission reduction policies,ind,0.00406356464049,0.00441695736896
Argentina,Capacity building – env. business training,ind,0.0375,0.0375
Argentina,Capacity building – think tanks,ind,0.0375,0.0375
Barbados,Score,score,0.642333496921,0.785559012605
Barbados,Enabling framework,param,0.741180975515,0.761270609288
Barbados,Clean energy policies,ind,0.0724394308604,0.0720872078881
Barbados,Power sector structure,ind,0.0490909090909,0.0375
Barbados,Distributed energy regulatory framework,ind,0.0,0.0
Barbados,Clean energy rural electrification,ind,0.04,0.04
Barbados,Energy access policies,ind,0.0,0.0
Barbados,Policy barriers,ind,0.00197530864198,0.0025
Barbados,Clean energy installed capacity,ind,0.0,0.0
Barbados,Growth rate of installed capacity,ind,0.0,0.0
Barbados,Clean energy electricity generation,ind,0.0,0.0
Barbados,Growth rate of electricity generation,ind,0.0,0.0
Barbados,Biofuels production,ind,0.0,0.0
Barbados,Growth rate biofuels production,ind,0.0,0.0
Barbados,Average electricity spot prices,ind,0.0,0.0
Barbados,Average retail electricity prices,ind,0.130966741613,0.150788382766
Barbados,Average residential electricity prices,ind,0.0,0.0
Barbados,Average commercial electricity prices,ind,0.0,0.0
Barbados,Average industrial electricity prices,ind,0.0,0.0
Barbados,Average kerosene prices,ind,0.0,0.0
Barbados,Average diesel prices,ind,0.0,0.0
Barbados,Growth rate of power demand,ind,0.0,0.0
Barbados,Electrification rate,ind,0.002,0.00163265306122
Barbados,Population using solid fuels for cooking,ind,0.0,0.0
Barbados,Financing and Investments,param,0.363396671506,0.879818352439
Barbados,Clean energy investments,ind,0.0,0.00159616254608
Barbados,Growth rate of clean energy investments,ind,0.0,0.0
Barbados,Asset finance investments,ind,0.0,0.0
Barbados,Corporate finance investments,ind,0.0,0.0
Barbados,VC/PE investments,ind,0.0,0.0
Barbados,"Loans, grants, grant programs",ind,0.000359742718408,0.15
Barbados,Local investments,ind,0.0,0.0
Barbados,Number of Green MFI,ind,0.0,0.0
Barbados,Green micro-loans,ind,0.0,0.0
Barbados,Green micro-borrowers,ind,0.0,0.0
Barbados,Average cost of green micro debt,ind,0.0,0.0
Barbados,Average cost of debt,ind,0.0540164015905,0.0622600574713
Barbados,Swap rate,ind,0.0546428571429,0.0500892857143
Barbados,Value chains,param,1.01644736842,0.884868421053
Barbados,Financial institutions in clean energy,ind,0.075,0.075
Barbados,Value chains by clean energy sector,ind,0.0493421052632,0.0296052631579
Barbados,Distributed clean energy value chains by sector,ind,0.0,0.0
Barbados,Clean energy service providers,ind,0.028125,0.028125
Barbados,Distributed clean energy service providers,ind,0.0,0.0
Barbados,GHG management,param,0.5625,0.5625
Barbados,Carbon offsets historical activity,ind,0.0,0.0
Barbados,CDM risk,ind,0.0,0.0
Barbados,Carbon offsets future potential,ind,0.0,0.0
Barbados,GHG emissions reduction target,ind,0.0,0.0
Barbados,GHG country registry,ind,0.0,0.0
Barbados,GHG market-based instruments,ind,0.0,0.0
Barbados,PMR & NAMA,ind,0.009375,0.009375
Barbados,Voluntary GHG reporting by corporates,ind,0.0,0.0
Barbados,Investor pressure – PRI signatories,ind,0.0,0.0
Barbados,Corporate energy efficiency initiatives,ind,0.0,0.0
Barbados,Corporate emission reduction policies,ind,0.0,0.0
Barbados,Capacity building – env. business training,ind,0.0375,0.0375
Barbados,Capacity building – think tanks,ind,0.0375,0.0375
Bangladesh,Score,score,1.20178898545,1.26431877795
Bangladesh,Enabling framework,param,1.29760643695,1.22755459884
Bangladesh,Clean energy policies,ind,0.0665834336729,0.0648334618379
Bangladesh,Power sector structure,ind,0.138181818182,0.166833333333
Bangladesh,Distributed energy regulatory framework,ind,0.0933333333333,0.0577777777778
Bangladesh,Clean energy rural electrification,ind,0.04,0.04
Bangladesh,Energy access policies,ind,0.05991334473,0.059248488866
Bangladesh,Policy barriers,ind,0.00248275862069,0.0051650800081
Bangladesh,Clean energy installed capacity,ind,0.0,0.0
Bangladesh,Growth rate of installed capacity,ind,0.0,0.0
Bangladesh,Clean energy electricity generation,ind,0.0,0.0
Bangladesh,Growth rate of electricity generation,ind,0.0,0.0
Bangladesh,Biofuels production,ind,0.0,0.0
Bangladesh,Growth rate biofuels production,ind,0.0,0.0
Bangladesh,Average electricity spot prices,ind,0.0131867168378,0.0138534943843
Bangladesh,Average retail electricity prices,ind,0.00926315789474,0.00926079979596
Bangladesh,Average residential electricity prices,ind,0.0,0.0
Bangladesh,Average commercial electricity prices,ind,0.0,0.0
Bangladesh,Average industrial electricity prices,ind,0.0,0.0
Bangladesh,Average kerosene prices,ind,0.0201156069364,0.0214619891818
Bangladesh,Average diesel prices,ind,0.0254,0.0183652173913
Bangladesh,Growth rate of power demand,ind,0.0285481715253,0.0129621574598
Bangladesh,Electrification rate,ind,0.00387096774194,0.00309677419355
Bangladesh,Population using solid fuels for cooking,ind,0.0181632653061,0.0181632653061
Bangladesh,Financing and Investments,param,0.664984000469,0.963627304942
Bangladesh,Clean energy investments,ind,0.00017377343907,0.000253073413499
Bangladesh,Growth rate of clean energy investments,ind,0.0,0.0
Bangladesh,Asset finance investments,ind,0.0,0.0
Bangladesh,Corporate finance investments,ind,0.0,0.0
Bangladesh,VC/PE investments,ind,0.0,0.0
Bangladesh,"Loans, grants, grant programs",ind,0.00870240432536,0.00933809590141
Bangladesh,Local investments,ind,0.0,0.0
Bangladesh,Number of Green MFI,ind,0.000265131424988,0.0780887087321
Bangladesh,Green micro-loans,ind,0.0585,0.0585
Bangladesh,Green micro-borrowers,ind,0.0135320018109,0.0238286237234
Bangladesh,Average cost of green micro debt,ind,0.00698823529412,0.00728834355828
Bangladesh,Average cost of debt,ind,0.0348336538462,0.0416663461538
Bangladesh,Swap rate,ind,0.0765,0.070125
Bangladesh,Value chains,param,2.57086466165,2.57086466165
Bangladesh,Financial institutions in clean energy,ind,0.09,0.09
Bangladesh,Value chains by clean energy sector,ind,0.0197368421053,0.0197368421053
Bangladesh,Distributed clean energy value chains by sector,ind,0.09375,0.09375
Bangladesh,Clean energy service providers,ind,0.075,0.075
Bangladesh,Distributed clean energy service providers,ind,0.107142857143,0.107142857143
Bangladesh,GHG management,param,0.650810075187,0.657193651248
Bangladesh,Carbon offsets historical activity,ind,0.0,0.0
Bangladesh,CDM risk,ind,0.0125,0.0125
Bangladesh,Carbon offsets future potential,ind,0.00589366443559,0.00589366443559
Bangladesh,GHG emissions reduction target,ind,0.0,0.0
Bangladesh,GHG country registry,ind,0.0,0.0
Bangladesh,GHG market-based instruments,ind,0.0,0.0
Bangladesh,PMR & NAMA,ind,0.0,0.0
Bangladesh,Voluntary GHG reporting by corporates,ind,0.00138174807198,0.0041062005277
Bangladesh,Investor pressure – PRI signatories,ind,0.0,0.0
Bangladesh,Corporate energy efficiency initiatives,ind,0.000890573575885,0.0
Bangladesh,Corporate emission reduction policies,ind,0.0019555251946,0.00107918272392
Bangladesh,Capacity building – env. business training,ind,0.0375,0.0375
Bangladesh,Capacity building – think tanks,ind,0.0375,0.0375
Bolivia,Score,score,1.04050951259,0.912422373058
Bolivia,Enabling framework,param,0.611715548435,0.648963044475
Bolivia,Clean energy policies,ind,0.0,0.0
Bolivia,Power sector structure,ind,0.0813,0.0813
Bolivia,Distributed energy regulatory framework,ind,0.0,0.0
Bolivia,Clean energy rural electrification,ind,0.04,0.04
Bolivia,Energy access policies,ind,0.0,0.0
Bolivia,Policy barriers,ind,0.00514398103787,0.00514398103787
Bolivia,Clean energy installed capacity,ind,0.0476239816882,0.0476239816882
Bolivia,Growth rate of installed capacity,ind,0.0,0.0
Bolivia,Clean energy electricity generation,ind,0.0334093156693,0.0334093156693
Bolivia,Growth rate of electricity generation,ind,0.0,0.0
Bolivia,Biofuels production,ind,0.0,0.0
Bolivia,Growth rate biofuels production,ind,0.0,0.0
Bolivia,Average electricity spot prices,ind,0.00840512874047,0.00840512874047
Bolivia,Average retail electricity prices,ind,0.0157116104869,0.0157116104869
Bolivia,Average residential electricity prices,ind,0.0,0.0
Bolivia,Average commercial electricity prices,ind,0.0,0.0
Bolivia,Average industrial electricity prices,ind,0.0,0.0
Bolivia,Average kerosene prices,ind,0.0,0.0
Bolivia,Average diesel prices,ind,0.0,0.0
Bolivia,Growth rate of power demand,ind,0.0261521197077,0.0261521197077
Bolivia,Electrification rate,ind,0.00183908045977,0.00183908045977
Bolivia,Population using solid fuels for cooking,ind,0.0,0.0
Bolivia,Financing and Investments,param,1.7255849136,1.09728064655
Bolivia,Clean energy investments,ind,0.000249037132865,0.000249037132865
Bolivia,Growth rate of clean energy investments,ind,0.0,0.0
Bolivia,Asset finance investments,ind,0.0,0.0
Bolivia,Corporate finance investments,ind,0.0,0.0
Bolivia,VC/PE investments,ind,0.0,0.0
Bolivia,"Loans, grants, grant programs",ind,0.0751600563721,0.0751600563721
Bolivia,Local investments,ind,0.00601285230786,0.00601285230786
Bolivia,Number of Green MFI,ind,0.1035,0.1035
Bolivia,Green micro-loans,ind,7.60429112977e-05,7.60429112977e-05
Bolivia,Green micro-borrowers,ind,0.00272660850062,0.00272660850062
