name:es_aa,name:es_var,type_var,2015,2014
Argentina,Puntaje,score,1.38931139741,1.24240047589
Argentina,Marco Propicio,param,1.31800612239,1.1712447476
Argentina,Políticas de energía limpia,ind,0.136179204417,0.180299235586
Argentina,Estructura del sector energético,ind,0.144545454545,0.155
Argentina,Marco regulatorio de la energía distribuida,ind,0.0,0.0
Argentina,Electrificación rural de energía limpia,ind,0.04,0.04
Argentina,Políticas de acceso a la energía,ind,0.0,0.0
Argentina,Obstáculos políticos,ind,0.000978260869565,0.00435934695273
Argentina,Capacidad instalada de energía limpia,ind,0.00597500786549,0.00437390841878
Argentina,Tasa de crecimiento de la capacidad instalada,ind,0.0467547723935,8.43329621885e-05
Argentina,Generación eléctrica de energía limpia,ind,0.00361370595142,0.00305426010312
Argentina,Tasa de crecimiento de generación eléctrica,ind,0.0082307566419,0.0
Argentina,Producción de biocombustibles,ind,0.0285954808698,0.0317000649112
Argentina,Tasa de crecimiento de la producción de biocombustibles,ind,0.08,0.0
Argentina,Precio promedio de la electricidad spot,ind,0.0175378073284,0.0274240928602
Argentina,Precio promedio de la electricidad al por menor,ind,0.00860676567509,0.00927646777088
Argentina,Precio promedio de la electricidad residencial,ind,0.0,0.0
Argentina,Precio promedio de la electricidad comercial,ind,0.0,0.0
Argentina,Precio promedio de la electricidad industrial,ind,0.0,0.0
Argentina,Precio promedio de queroseno,ind,0.0,0.0
Argentina,Precio promedio de diesel,ind,0.0,0.0
Argentina,Tasa de crecimiento de la demanda de energía,ind,0.00410189906746,0.0112767049385
Argentina,Tasa de electrificación,ind,0.00208333333333,0.00164948453608
Argentina,Población que utiliza combustibles sólidos para cocinar,ind,0.0,0.0
Argentina,Financiamiento y Inversión,param,0.21377972435,0.301373639566
Argentina,Inversiones en energía limpia,ind,0.00372173856344,0.00639172892622
Argentina,Tasa de crecimiento de las inversiones en energía limpia,ind,0.0,0.0131634075982
Argentina,Inversiones en activos,ind,0.0,0.0
Argentina,Inversiones en finanzas corporativas,ind,0.0,0.0
Argentina,Inversiones en capital de riesgo / capital privado,ind,0.0,0.0
Argentina,"Préstamos, donaciones, programas de donaciones",ind,0.0,0.0016934918025
Argentina,Inversiones locales,ind,0.0,0.00618330363263
Argentina,Número de instituciones de microfinanzas verdes,ind,0.00880546906522,0.000740598298338
Argentina,Microcréditos verdes,ind,0.00183988305565,0.0001958119506
Argentina,Microprestatarios verdes,ind,0.00169330131778,0.00256025600282
Argentina,Coste medio de la microdeuda verde,ind,0.0037125,0.0037125
Argentina,Coste medio de la deuda,ind,0.0188610253028,0.0315899591757
Argentina,Tasa swap,ind,0.0255,0.0241810344828
Argentina,Cadenas de valor,param,3.54934210526,2.82565789474
Argentina,Instituciones financieras en relación a la energía limpia,ind,0.15,0.15
Argentina,Cadenas de valor de energía limpia por sector,ind,0.335526315789,0.226973684211
Argentina,Cadenas de valor de energía limpia distribuida por sector,ind,0.0,0.0
Argentina,Proveedores de servicios de energía limpia,ind,0.046875,0.046875
Argentina,Proveedores de servicios de energía limpia distribuida,ind,0.0,0.0
Argentina,Gestión de GEI,param,1.77049143569,1.7309453385
Argentina,Actividad histórica de derechos de emisión de carbono,ind,0.075,0.075
Argentina,Riesgo del mecanismo de desarrollo limpio (MDL),ind,0.0625,0.0625
Argentina,Potencial de proyectos,ind,0.0218199117229,0.0218199117229
Argentina,Objetivos para la reducción de emisiones de gas de efecto invernadero (GEI),ind,0.0,0.0
Argentina,Registro de GEI,ind,0.0,0.0
Argentina,Instrumentos basados en el mercado,ind,0.0,0.0
Argentina,Instrumentos de PMR & NAMA,ind,0.009375,0.009375
Argentina,Iniciativa de reporte global,ind,0.0126335470085,0.00672246220302
Argentina,Principios de inversión responsable,ind,0.0,0.0
Argentina,Iniciativas de eficiencia energética,ind,0.00518169198106,0.00480746947969
Argentina,Políticas de reducción de emisiones,ind,0.00406356464049,0.00441695736896
Argentina,Formación empresarial centrada en el medioambiente,ind,0.0375,0.0375
Argentina,‘Think tanks’ centrado en el medioambiente,ind,0.0375,0.0375
Barbados,Puntaje,score,0.642333496921,0.785559012605
Barbados,Marco Propicio,param,0.741180975515,0.761270609288
Barbados,Políticas de energía limpia,ind,0.0724394308604,0.0720872078881
Barbados,Estructura del sector energético,ind,0.0490909090909,0.0375
Barbados,Marco regulatorio de la energía distribuida,ind,0.0,0.0
Barbados,Electrificación rural de energía limpia,ind,0.04,0.04
Barbados,Políticas de acceso a la energía,ind,0.0,0.0
Barbados,Obstáculos políticos,ind,0.00197530864198,0.0025
Barbados,Capacidad instalada de energía limpia,ind,0.0,0.0
Barbados,Tasa de crecimiento de la capacidad instalada,ind,0.0,0.0
Barbados,Generación eléctrica de energía limpia,ind,0.0,0.0
Barbados,Tasa de crecimiento de generación eléctrica,ind,0.0,0.0
Barbados,Producción de biocombustibles,ind,0.0,0.0
Barbados,Tasa de crecimiento de la producción de biocombustibles,ind,0.0,0.0
