name:en_aa,name:en_var,type_var,2017,2016,2015,2014
Armenia,Score,score,0.810522655457,,,
Armenia,Enabling framework,param,1.15541371848,,,
Armenia,Clean energy policies,ind,0.1536,,,
Armenia,Power sector structure,ind,0.101735374758,,,
Armenia,Distributed energy framework,ind,0.0,,,
Armenia,Clean energy rural electrification,ind,0.0,,,
Armenia,Energy access policies,ind,0.0,,,
Armenia,Barriers,ind,0.00504983388704,,,
Armenia,Clean energy installed capacity,ind,0.0244787618122,,,
Armenia,Growth rate of installed capacity,ind,0.00713625792475,,,
Armenia,Clean energy electricity generation,ind,0.0216399378478,,,
Armenia,Growth rate of electricity generation,ind,0.0132868294303,,,
Armenia,Biofuels production capacity,ind,0.0,,,
Armenia,Growth rate biofuels production capacity,ind,0.0,,,
Armenia,Average electricity spot prices,ind,0.0,,,
Armenia,Average retail electricity prices,ind,0.0352384917331,,,
Armenia,Average residential electricity prices,ind,0.0,,,
Armenia,Average commercial electricity prices,ind,0.0,,,
Armenia,Average industrial electricity prices,ind,0.0,,,
Armenia,Average kerosene prices,ind,0.0,,,
Armenia,Average diesel prices,ind,0.0,,,
Armenia,Growth rate of power demand,ind,0.0,,,
Armenia,Electrification rate,ind,0.1,,,
Armenia,Population using solid fuels for cooking,ind,0.0,,,
Armenia,Financing and Investments,param,0.265845165475,,,
Armenia,Clean energy investments (2011-2015),ind,0.00330950198805,,,
Armenia,Growth rate of clean energy investments,ind,0.0,,,
Armenia,Asset finance investments,ind,0.0,,,
Armenia,Corporate finance investments,ind,0.0,,,
Armenia,VC/PE investments,ind,0.0,,,
Armenia,"Loans, grants, grant programs",ind,0.00841486676033,,,
Armenia,Local investments,ind,0.0,,,
Armenia,Value chains,param,1.40131578947,,,
Armenia,Financial institutions in clean energy,ind,0.1125,,,
Armenia,Value chains by clean energy sector,ind,0.0789473684211,,,
Armenia,Distributed value chains by sector,ind,0.0,,,
Armenia,Clean energy service providers,ind,0.01875,,,
Armenia,Distributed clean energy service providers,ind,0.0,,,
Armenia,GHG management,param,0.389375,,,
Armenia,Carbon offsets historical activity,ind,0.03,,,
Armenia,CDM risk,ind,0.027,,,
Armenia,Carbon offsets future potential,ind,0.0,,,
Armenia,GHG emissions reduction target,ind,0.0,,,
Armenia,GHG country registry,ind,0.0,,,
Armenia,GHG market-based instruments,ind,0.0,,,
Armenia,PMR & NAMA,ind,0.0,,,
Armenia,Voluntary GHG reporting by corporates,ind,0.0,,,
Armenia,Investor pressure – PRI signatories,ind,0.0,,,
Armenia,Corporate energy efficiency initiatives,ind,0.00140625,,,
Armenia,Corporate emission reduction policies,ind,0.0,,,
Armenia,Capacity building – env. business training,ind,0.0,,,
Armenia,Capacity building – think tanks,ind,0.0,,,
Armenia,Carbon tax,ind,0.0,,,
Argentina,Score,score,1.40231359653,1.39359607999,1.38931139741,1.24240047589
Argentina,Enabling framework,param,1.17804178725,1.1853333957,1.31800612239,1.1712447476
Argentina,Clean energy policies,ind,0.145150298094,0.1392,0.136179204417,0.180299235586
Argentina,Power sector structure,ind,0.126249956993,0.134439912539,0.144545454545,0.155
Argentina,Distributed energy framework,ind,0.0,0.0,0.0,0.0
Argentina,Clean energy rural electrification,ind,0.04,0.04,0.04,0.04
Argentina,Energy access policies,ind,0.0,0.0,0.0,0.0
Argentina,Barriers,ind,0.00370390760956,0.008739,0.000978260869565,0.00435934695273
Argentina,Clean energy installed capacity,ind,0.00582939893172,0.0067106803448,0.00597500786549,0.00437390841878
Argentina,Growth rate of installed capacity,ind,0.0,0.0,0.0467547723935,8.43329621885e-05
Argentina,Clean energy electricity generation,ind,0.0035471520544,0.00329256922322,0.00361370595142,0.00305426010312
Argentina,Growth rate of electricity generation,ind,0.00435303013288,0.00184363945151,0.0082307566419,0.0
Argentina,Biofuels production capacity,ind,0.00730455540084,0.00727849413792,0.0285954808698,0.0317000649112
Argentina,Growth rate biofuels production capacity,ind,0.00164084138034,0.0190982933534,0.08,0.0
Argentina,Average electricity spot prices,ind,0.0,0.0,0.0175378073284,0.0274240928602
Argentina,Average retail electricity prices,ind,0.0382913504762,0.0175307692308,0.00860676567509,0.00927646777088
Argentina,Average residential electricity prices,ind,0.0,0.0,0.0,0.0
Argentina,Average commercial electricity prices,ind,0.0,0.0,0.0,0.0
Argentina,Average industrial electricity prices,ind,0.0,0.0,0.0,0.0
Argentina,Average kerosene prices,ind,0.0,0.0,0.0,0.0
Argentina,Average diesel prices,ind,0.0,0.0,0.0,0.0
Argentina,Growth rate of power demand,ind,0.00980622382633,0.0,0.00410189906746,0.0112767049385
Argentina,Electrification rate,ind,0.08534,0.096,0.00208333333333,0.00164948453608
Argentina,Population using solid fuels for cooking,ind,0.0,0.0,0.0,0.0
Argentina,Financing and Investments,param,0.595013592766,0.256652054835,0.21377972435,0.301373639566
Argentina,Clean energy investments (2011-2015),ind,0.00713298488129,0.0091246157042,0.00372173856344,0.00639172892622
Argentina,Growth rate of clean energy investments,ind,0.133565521829,0.0172633865344,0.0,0.0131634075982
Argentina,Asset finance investments,ind,0.0,0.0,0.0,0.0
Argentina,Corporate finance investments,ind,0.0,0.0,0.0,0.0
Argentina,VC/PE investments,ind,0.0,0.0,0.0,0.0
Argentina,"Loans, grants, grant programs",ind,0.0,0.00124845767997,0.0,0.0016934918025
Argentina,Local investments,ind,0.0,0.0473475120385,0.0,0.00618330363263
Argentina,Value chains,param,3.54276315789,2.95394736842,3.54934210526,2.82565789474
Argentina,Financial institutions in clean energy,ind,0.15,0.15,0.15,0.15
Argentina,Value chains by clean energy sector,ind,0.315789473684,0.236842105263,0.335526315789,0.226973684211
Argentina,Distributed value chains by sector,ind,0.0,0.0,0.0,0.0
Argentina,Clean energy service providers,ind,0.065625,0.05625,0.046875,0.046875
Argentina,Distributed clean energy service providers,ind,0.0,0.0,0.0,0.0
Argentina,GHG management,param,1.47452220077,2.6625,1.77049143569,1.7309453385
Argentina,Carbon offsets historical activity,ind,0.045,0.075,0.075,0.075
Argentina,CDM risk,ind,0.03,0.0625,0.0625,0.0625
Argentina,Carbon offsets future potential,ind,0.0,0.00575,0.0218199117229,0.0218199117229
Argentina,GHG emissions reduction target,ind,0.03,0.046875,0.0,0.0
Argentina,GHG country registry,ind,0.06,0.0,0.0,0.0
Argentina,GHG market-based instruments,ind,0.0,0.0,0.0,0.0
Argentina,PMR & NAMA,ind,0.0,0.0,0.009375,0.009375
Argentina,Voluntary GHG reporting by corporates,ind,0.0045,0.046875,0.0126335470085,0.00672246220302
Argentina,Investor pressure – PRI signatories,ind,0.0,0.019125,0.0,0.0
Argentina,Corporate energy efficiency initiatives,ind,0.0028125,0.002625,0.00518169198106,0.00480746947969
Argentina,Corporate emission reduction policies,ind,0.00731177606178,0.0375,0.00406356464049,0.00441695736896
Argentina,Capacity building – env. business training,ind,0.00767931392931,0.028125,0.0375,0.0375
Argentina,Capacity building – think tanks,ind,0.0169373700624,0.0375,0.0375,0.0375
Argentina,Carbon tax,ind,0.0169373700624,0.0375,,
Azerbaijan,Score,score,0.793847306006,,,
Azerbaijan,Enabling framework,param,0.521378203271,,,
Azerbaijan,Clean energy policies,ind,0.0,,,
Azerbaijan,Power sector structure,ind,0.0267255033482,,,
Azerbaijan,Distributed energy framework,ind,0.0,,,
Azerbaijan,Clean energy rural electrification,ind,0.0,,,
Azerbaijan,Energy access policies,ind,0.0,,,
Azerbaijan,Barriers,ind,0.00331428571429,,,
Azerbaijan,Clean energy installed capacity,ind,0.00662464599891,,,
Azerbaijan,Growth rate of installed capacity,ind,0.00318407960199,,,
Azerbaijan,Clean energy electricity generation,ind,0.00209832760722,,,
Azerbaijan,Growth rate of electricity generation,ind,0.0257228412109,,,
Azerbaijan,Biofuels production capacity,ind,0.0,,,
Azerbaijan,Growth rate biofuels production capacity,ind,0.0,,,
Azerbaijan,Average electricity spot prices,ind,0.0302897610922,,,
Azerbaijan,Average retail electricity prices,ind,0.0105918367347,,,
Azerbaijan,Average residential electricity prices,ind,0.0,,,
Azerbaijan,Average commercial electricity prices,ind,0.0,,,
Azerbaijan,Average industrial electricity prices,ind,0.0,,,
Azerbaijan,Average kerosene prices,ind,0.0,,,
Azerbaijan,Average diesel prices,ind,0.0,,,
Azerbaijan,Growth rate of power demand,ind,0.0,,,
Azerbaijan,Electrification rate,ind,0.1,,,
